time,,company,likes,comments,shares,url,text,object1 ,object2,object3,obj4,obj5,max_fine_recog,semantic_seg_perc,obj_sem_seg,similarity,total_engage
2023-11-23T06:07:19.000Z,,Microsoft,20,4,0,https://www.facebook.com/MicrosoftIndia/posts/pfbid02Mmye6zDGFvG8MrLQqisMr9JRBVKLWKmKpE2i8sEiVWd2dLoFLLeG2FX9nXvc4jiDl,"Discover four different ways business leaders are using Viva to deliver an improved, inclusive, and holistic experience for their employees: http://msft.it/6182iyBhI #EmployeeExperience",0.57,0.07,0.04,0.03,0.02,0.57,0.22,obj1,0.164624392986297,24
2023-12-18T17:04:10.000Z,,Berkshire Hathways,534,78,34,https://www.facebook.com/BHHSRealEstate/posts/pfbid02YMr8HRDYTx2n7UzXhajd6NeY4kLnyJJ4eGLPoxVPjZwyJUkH56nG5zanakc5zLMyl,"The Berkshire Hathaway HomeServices Woodmont Realty charity committee was busy on Giving Tuesday, personally delivering sizable checks to four non-profits: Second Harvest of Middle Tennessee, Operation Stand Down, Friends Life Community, and Ancora TN (formerly known as End Slavery TN).

The committee raised over $15,000 in total which was split equally among the above charities. We commend committee co-chairs, Jamie Shea and Ben Jasek, and the Berkshire Hathaway Homeservices Woodmont Realty - Brentwood team for their stellar efforts! ✨

#GivingTuesday #GivingBack #ForEveryone #BHHS #WoodmontRealty #BHHSRealEstate",0.16,0.14,0.12,0.07,0.03,0.16,0.34,obj5,0.209283307194709,646
2023-12-15T17:00:19.000Z,,Berkshire Hathways,678,78,30,https://www.facebook.com/BHHSRealEstate/posts/746739290825793,"We love the simple caption that accompanied this image posted by Maxwell.Realtor—“Call as a client. Close with a friend.”

This is a common occurrence throughout the #BHHS network. Being a real estate agent is all about establishing true, meaningful relationships. It’s our Forever Agent℠ way.",0.1,0.09,0.04,0.03,0.03,0.1,0.2,obj4,0.19257053732872,786
2023-11-17T04:45:25.000Z,,Microsoft,35,6,0,https://www.facebook.com/MicrosoftIndia/posts/pfbid02NnQTLednmzraBmbZhJt3fAckM9KvMqaG96a7YHAXMiTHqn38zmwqHU7jButjVHACl,"When you accept the cookies, and now you want a little treat",0.14,0.09,0.07,0.03,0.03,0.14,0.95,obj1,0.142470732331275,41
2023-12-12T17:04:45.000Z,,Berkshire Hathways,486,91,47,https://www.facebook.com/BHHSRealEstate/posts/pfbid02i4Vq4KyKaydZsk1s3FXB5XwEVSeZ6JHzTj5QgVNA6iVEeCRrTEMDpBiTCfNBwDfJl,,0.11,0.1,0.09,0.05,0.05,0.11,0.19,obj2,0.189164862036705,624
2023-10-23T07:13:41.000Z,,Microsoft,87,8,2,https://www.facebook.com/MicrosoftIndia/posts/1391644154758308:1391644154758308,,0.13,0.11,0.09,0.06,0.06,0.13,0.09,obj1,0.2014040350914,97
2023-12-11T18:34:18.000Z,,Berkshire Hathways,203,15,7,https://www.facebook.com/BHHSRealEstate/posts/pfbid0ZsSCmBQxT6Qz1Ccg9USrjJstzkYumrhp7NgbZE5uc4gHCESfEG1NT7FEi5t4xGMCl,,0.81,0.06,0.02,0.01,0,0.81,0.5,obj1,0.179202273488044,225
2023-10-18T05:30:09.000Z,,Microsoft,18,4,3,https://www.facebook.com/MicrosoftIndia/posts/pfbid07Z7cghEmZF35VTwSsJYDni6VfY3sF12FUmdKRPQNM9e7vfEvdfn2Z56qEwgr1jP9l,Cybersecurity Awareness Month is the perfect time to advance your small business' security posture. Enhance your protection today with 10% off Microsoft 365 Business Premium. http://msft.it/61859a3bx #SecureOurWorld,0.07,0.06,0.04,0.04,0.04,0.07,0.68,obj4,0.210303634405136,25
2023-10-17T08:09:42.000Z,,Microsoft,15,2,2,https://www.facebook.com/MicrosoftIndia/posts/pfbid02ovaV7SDWXYo2uCufuVHPRodZDT5MoDr7mw1XbBHQWsDSyPMtSnMpYJ6K4rHTMkjyl,Want to better understand generative AI—including how to create prompts using Azure OpenAI Service? Start by learning the basics in episode one of our new series—From Doodle to Code:,0.58,0.03,0.02,0.02,0.01,0.58,0.61,obj1,0.192228198051452,19
2023-12-06T18:28:14.000Z,,Berkshire Hathways,403,37,30,https://www.facebook.com/BHHSRealEstate/posts/pfbid018VNZC5jxa3zGjvZjjccjWp3SQCMJYcAoNxCEnz3mEmcmirt1nqednUSDVHJYXcrl,"Congratulations are in order for the marketing teams at both Berkshire Hathaway HomeServices Georgia Properties and Berkshire Hathaway HomeServices California Properties who recently placed 1st and 3rd in their respective regional categories in the 2023 Exhibit Awards, which celebrates the best of real estate branding and design.

Berkshire Hathaway HomeServices Georgia Properties—led by Kelly Silver, SVP, Marketing, and Don Freewalt, VP, Brand Marketing and Creative Director—clinched the top spot in the South East category with their agent-focused social campaign, while Berkshire Hathaway HomeServices California Properties—led by Allison Jones, VP of Marketing, and Glen Wellbrock, Sr. Director of Marketing—were commended for their Lifestyles publication in the West category. 

#1: The Berkshire Hathaway HomeServices Georgia Properties marketing team celebrating their award
#2: A sample of the winning material from Berkshire Hathaway HomeServices Georgia Properties
#3: Recognition of the Berkshire Hathaway HomeServices California Properties 3rd place award
#4: Lifestyles magazine from Berkshire Hathaway HomeServices California Properties",0.97,0.02,0.01,0.01,0,0.97,0.71,obj1,0.197151198983192,470
